Kode_Barcode,Nama_Produk,Kategori,Harga,Satuan,Stok
8992753033652,FRISIAN FLAG KID STROBERI TPK 115mL,,,,
8992753033645,FRISIAN FLAG KID COKELAT TPK 115mL,,,,
8992753013234,FRISIAN FLAG FRUITY STRAWBERRY PCK 70mL,,,,
8992753374007,FRISIAN FLAG FRUITY STRAWBERRY BTL 70mL,,,,
8992753372003,FRISIAN FLAG FRUITY GRAPE BTL 70mL,,,,
8992753174201,FRISIAN FLAG DISNEY STRAWBERRY BTL 180m,,,,
8992753172207,FRISIAN FLAG DISNEY CHOCOLATE BTL 180mL,,,,
8992753031900,FRISIAN FLAG PUTIHPCK 6x40g,,,,
8992753101207,FRISIAN FLAG PUTIH KLG 375g,,,,
8992753100309,FRISIAN FLAG GOLD PCK 6×4,,,,
8992753100101,FRISIAN FLAG GOLD KLG 375,,,,
8992761122430,FRESTEA GREEN MADU BTL 500mL,,,,
8992761122317,FRESTEA GREEN BTL 500mL,,,,
8992761122348,FRESTEA MARKISA BTL 500mL,,,,
8992761122331,FRESTEA APEL BTL 500mL,,,,
8992761122324,FRESTEA MELA BTL 500mL,,,,
8997021870014,FRESH CARE MINYAK ANGIN AROMA THERAPYBTL 10mL,,,,
8997021870151,FRESH CARE MINYAK ANGIN AROMA THERAPY STRONG BTL,,,,
8997021870052,FRESH CARE GREEN TEA,,,,
8993496106504,FORTUNE MINYAK GORENG REFILLPCH 1000mL,,,,
8991102100434,FORMULA PASTA + SIKAT GIGI SPARKLING BDD 190,,,,
8992772106016,FORCE MAGIC INSEKTISIDA SPRAY LEMON KLG 600mL,,,,
8998866500708,FLORIDINA JUICE PULP ORANG BTL 360mL,,,,
8998777140635,FITKOM GUMMY BOX,,,,
50017898,FISHERMAN S CANDY SUGAR FREE (HP) MINT SCT 25g,,,,
50604159,FISHERMAN S CANDY ANNISEED KUNING SCT 25g,,,,
8995858111010,FATIGON SPIRIT SUPLEMEN PENAMBAH TENAGA 5 SSTR,,,,
8995858899888,FATIGON KAPSUL VITAMIN (4 S)STR,,,,
8992858627619,FATIGON C-PLUS KAPSUL MULTIVITAMIN (4 S)STR,,,,
8992761147037,FANTA STRAWBERRY PET 425mL,,,,
